Dataset,Optimizer,objfname,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
iris,PSO,SSE,9.27,4.63,0.82,0.28,0.72,0.79,0.75,0.72,0.66,0.53,3.99,0.22,0.66,0.9,0.67,0.07,21.77,17.7,13.84,12.46,12.3,10.64,10.0,10.0,10.0,9.96,9.59,9.59,9.59,9.19,8.62,8.62,8.17,8.17,7.92,7.35,7.35,7.25,7.25,7.25,6.17,6.15,6.12,6.12,6.12,5.72,5.72,5.66,5.41,5.3,5.3,5.3,5.3,5.28,5.23,5.21,5.21,5.1,5.1,5.08,5.08,5.08,5.08,5.07,5.04,5.04,5.02,5.01,5.01,4.98,4.98,4.96,4.96,4.95,4.93,4.92,4.91,4.91,4.89,4.88,4.88,4.87,4.86,4.86,4.85,4.82,4.81,4.8,4.79,4.78,4.78,4.77,4.75,4.74,4.72,4.69,4.66,4.65,4.65,4.64,4.64,4.64,4.64,4.64,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63
flame,PSO,SSE,15.72,7.97,0.64,0.94,0.0,0.0,0.0,0.0,0.0,0.52,7.97,0.3,0.0,0.96,0.96,0.06,11.3,8.35,8.35,8.35,8.35,8.35,8.24,8.24,8.24,8.24,8.21,8.21,8.21,8.21,8.18,8.09,8.09,8.09,8.09,8.09,8.09,8.09,8.09,8.09,8.08,8.08,8.08,8.08,8.08,8.07,8.06,8.06,8.06,8.02,8.02,8.01,8.01,8.01,7.99,7.99,7.99,7.99,7.99,7.99,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97
iris,PSO,TWCV,11.35,48.54,0.96,0.14,0.86,0.86,0.86,0.86,0.89,0.55,2.83,0.21,0.89,0.82,0.63,0.14,4.28,3.07,3.04,2.86,2.84,2.84,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83
flame,PSO,TWCV,16.98,34.49,0.64,0.94,0.0,0.0,0.0,0.0,0.0,0.5,7.97,0.3,0.0,0.96,0.96,0.12,8.08,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97
iris,GA,SSE,9.77,5.39,0.91,0.2,0.8,0.82,0.81,0.8,0.77,0.27,3.09,0.22,0.77,0.91,0.64,0.06,19.11,14.99,14.37,14.37,14.15,13.41,13.04,12.45,12.39,11.05,10.56,10.44,10.44,10.09,10.09,9.89,9.89,9.89,9.89,9.89,9.75,9.53,9.53,9.53,9.5,9.5,9.5,9.5,9.5,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.13,8.13,8.13,8.13,8.13,8.08,7.93,7.87,7.87,7.87,7.87,7.74,7.74,7.74,7.74,7.74,7.51,7.51,7.51,7.51,7.51,7.46,6.92,6.92,6.92,6.72,6.72,6.72,6.72,6.72,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.16,6.16,6.14,5.95,5.95,5.95,5.81,5.81,5.54,5.39,5.39,5.39,5.39
flame,GA,SSE,14.81,8.06,0.64,0.94,0.0,0.0,0.0,0.0,0.0,0.51,8.0,0.3,0.0,0.97,0.96,0.06,10.73,10.26,9.78,9.6,9.6,8.97,8.97,8.97,8.95,8.95,8.81,8.81,8.81,8.67,8.67,8.67,8.67,8.61,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.43,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.32,8.32,8.32,8.32,8.32,8.26,8.26,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.18,8.12,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06
iris,GA,TWCV,10.53,20.91,0.96,0.14,0.86,0.86,0.86,0.86,0.89,0.53,2.83,0.21,0.89,0.82,0.63,0.1,3.88,3.6,3.48,3.48,3.48,3.39,3.3,3.18,3.06,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.94,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.9,2.9,2.9,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83
flame,GA,TWCV,16.59,17.47,0.64,0.94,0.0,0.0,0.0,0.0,0.0,0.5,7.97,0.3,0.0,0.96,0.96,0.1,8.06,8.02,7.98,7.98,7.98,7.98,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97
